"Year (time)","Geographic Area Name (NAME)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Meaning of Category (CATEGORY_LABEL)","Item Code (ITEM_CODE)","Meaning of Item Code (ITEM_CODE_LABEL)","Amount ($1,000) (AMOUNT)"
"2013","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","430"
"2014","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","203"
"2015","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","162"
"2016","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,173"
"2017","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,525"
"2018","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,746"
"2019","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","2,142"
"2020","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,897"
"2021","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,823"
"2022","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,931"
"2023","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,569"
"2024","Florida","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,973"
"2012","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","16,102"
"2013","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","17,585"
"2014","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","23,482"
"2015","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","29,229"
"2016","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","32,134"
"2017","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","34,342"
"2018","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","38,420"
"2019","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","45,041"
"2020","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","43,988"
"2021","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","49,089"
"2022","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","49,522"
"2023","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","55,794"
"2024","Georgia","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","52,031"
"2012","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2013","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2014","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2015","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2016","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2017","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2018","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2019","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2020","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2021","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2022","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2023","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
"2024","Hawaii","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","0"
