"Year (time)","Geographic Area Name (NAME)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Meaning of Category (CATEGORY_LABEL)","Item Code (ITEM_CODE)","Meaning of Item Code (ITEM_CODE_LABEL)","Amount ($1,000) (AMOUNT)"
"2019","Oklahoma","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","1,428"
"2020","Oklahoma","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","901"
"2021","Oklahoma","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","1,808"
"2012","Oregon","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2013","Oregon","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2014","Oregon","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2015","Oregon","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2016","Oregon","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2017","Oregon","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2018","Oregon","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","17"
"2019","Oregon","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","26"
"2020","Oregon","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2021","Oregon","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2012","Pennsylvania","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","2,602"
"2013","Pennsylvania","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","3,361"
"2014","Pennsylvania","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","2,846"
"2015","Pennsylvania","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","2,836"
"2016","Pennsylvania","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","1,807"
"2017","Pennsylvania","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","2,799"
"2018","Pennsylvania","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","2,782"
"2019","Pennsylvania","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","3,309"
"2020","Pennsylvania","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","3,466"
"2021","Pennsylvania","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","3,822"
"2012","Rhode Island","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","32"
"2013","Rhode Island","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","103"
"2014","Rhode Island","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","248"
"2015","Rhode Island","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","128"
"2016","Rhode Island","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","82"
"2017","Rhode Island","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","150"
"2018","Rhode Island","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","652"
"2019","Rhode Island","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","66"
"2020","Rhode Island","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","3"
"2021","Rhode Island","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","38"
"2012","South Carolina","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2013","South Carolina","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2014","South Carolina","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2015","South Carolina","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2016","South Carolina","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2017","South Carolina","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2018","South Carolina","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2019","South Carolina","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2020","South Carolina","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2021","South Carolina","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2012","South Dakota","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","31"
"2013","South Dakota","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","75"
"2014","South Dakota","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","238"
"2015","South Dakota","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","635"
"2016","South Dakota","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","747"
"2017","South Dakota","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","23"
"2018","South Dakota","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","19"
"2019","South Dakota","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","32"
"2020","South Dakota","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","69"
"2021","South Dakota","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","147"
"2012","Tennessee","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2013","Tennessee","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2014","Tennessee","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2015","Tennessee","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2016","Tennessee","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2017","Tennessee","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2018","Tennessee","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2019","Tennessee","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2020","Tennessee","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2021","Tennessee","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2012","Texas","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2013","Texas","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2014","Texas","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2015","Texas","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2016","Texas","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2017","Texas","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2018","Texas","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2019","Texas","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2020","Texas","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2021","Texas","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2012","Utah","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","37"
"2013","Utah","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","68"
"2014","Utah","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","82"
"2015","Utah","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","221"
"2016","Utah","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","85"
"2017","Utah","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","10"
"2018","Utah","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","75"
"2019","Utah","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","61"
"2020","Utah","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","311"
"2021","Utah","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","268"
"2012","Vermont","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","200"
"2013","Vermont","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","20"
"2014","Vermont","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","131"
"2015","Vermont","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","67"
"2016","Vermont","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","49"
"2017","Vermont","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","100"
"2018","Vermont","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","55"
"2019","Vermont","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","96"
"2020","Vermont","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","145"
"2021","Vermont","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","189"
"2012","Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2013","Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2014","Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","0"
"2015","Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","209"
"2016","Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","106"
"2017","Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","872"
"2018","Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","1,236"
"2019","Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","326"
"2020","Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","946"
"2021","Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","45"
"2012","Washington","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","524"
"2013","Washington","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","500"
"2014","Washington","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","831"
"2015","Washington","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","1,228"
"2016","Washington","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","683"
"2017","Washington","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","161"
"2018","Washington","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","186"
"2019","Washington","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","127"
"2020","Washington","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","402"
"2021","Washington","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","1,121"
"2012","West Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","35"
"2013","West Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","93"
"2014","West Virginia","SF0365","Exhibit - Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Institutions - Capital Outlay - Capital Outlay Other Than Construction - Equipment","State","Expenditure","K77","Exhibit - Equipment Only - Welfare Institutions","194"
