"","State","year","count"
"575","Iowa",1980,2481
"576","Iowa",1981,2670
"577","Iowa",1982,2829
"578","Iowa",1983,2814
"579","Iowa",1984,2836
"580","Iowa",1985,2687
"581","Iowa",1986,2777
"582","Iowa",1987,2851
"583","Iowa",1988,3034
"584","Iowa",1989,3584
"585","Iowa",1990,3967
"586","Iowa",1991,4145
"587","Iowa",1992,4518
"588","Iowa",1993,4898
"589","Iowa",1994,5437
"590","Iowa",1995,5906
"591","Iowa",1996,6342
"592","Iowa",1997,6938
"593","Iowa",1998,7394
"594","Iowa",1999,7232
"595","Iowa",2000,7955
"596","Iowa",2001,7962
"597","Iowa",2002,8398
"598","Iowa",2003,8546
"599","Iowa",2004,8525
"600","Iowa",2005,8737
"601","Iowa",2006,8838
"602","Iowa",2007,8732
"603","Iowa",2008,8766
"604","Iowa",2009,8813
"605","Iowa",2010,9455
"606","Iowa",2011,9116
"607","Iowa",2012,8733
"608","Iowa",2013,8697
"609","Iowa",2014,8838
"610","Iowa",2015,8849
"611","Iowa",2016,9031
"612","Iowa",2017,9024
"613","Iowa",2018,9419
"614","Iowa",2019,9282
"615","Iowa",2020,8307
"616","Iowa",2021,8562
"617","Idaho",1978,802
"618","Idaho",1979,830
"619","Idaho",1980,817
"620","Idaho",1981,957
"621","Idaho",1982,1044
"622","Idaho",1983,1187
"623","Idaho",1984,1253
"624","Idaho",1985,1344
"625","Idaho",1986,1448
"626","Idaho",1987,1435
"627","Idaho",1988,1581
"628","Idaho",1989,1850
"629","Idaho",1990,1961
"630","Idaho",1991,2143
"631","Idaho",1992,2256
"632","Idaho",1993,2606
"633","Idaho",1994,2811
"634","Idaho",1995,3328
"635","Idaho",1996,3832
"636","Idaho",1997,3911
"637","Idaho",1998,4083
"638","Idaho",1999,4842
"639","Idaho",2000,5535
"640","Idaho",2001,5984
"641","Idaho",2002,5746
"642","Idaho",2003,5737
"643","Idaho",2004,6375
"644","Idaho",2005,6818
"645","Idaho",2006,7124
"646","Idaho",2007,7319
"647","Idaho",2008,7290
"648","Idaho",2009,7400
"649","Idaho",2010,7431
"650","Idaho",2011,7739
"651","Idaho",2012,7985
"652","Idaho",2013,8242
"653","Idaho",2014,8117
"654","Idaho",2015,8052
"655","Idaho",2016,8252
"656","Idaho",2017,8579
"657","Idaho",2018,8664
"658","Idaho",2019,9437
"659","Idaho",2020,8356
"660","Idaho",2021,8907
"661","Illinois",1978,11258
"662","Illinois",1979,11935
"663","Illinois",1980,11899
"664","Illinois",1981,14328
"665","Illinois",1982,14293
"666","Illinois",1983,15595
"667","Illinois",1984,17114
"668","Illinois",1985,18634
"669","Illinois",1986,19456
"670","Illinois",1987,19850
"671","Illinois",1988,21081
"672","Illinois",1989,24712
"673","Illinois",1990,27516
"674","Illinois",1991,29115
"675","Illinois",1992,31640
"676","Illinois",1993,34495
"677","Illinois",1994,36531
"678","Illinois",1995,37658
"679","Illinois",1996,38852
"680","Illinois",1997,40788
"681","Illinois",1998,43051
"682","Illinois",1999,44660
"683","Illinois",2000,45281
"684","Illinois",2001,44348
"685","Illinois",2002,42693
"686","Illinois",2003,43418
"687","Illinois",2004,44054
"688","Illinois",2005,44919
"689","Illinois",2006,45106
"690","Illinois",2007,45215
"691","Illinois",2008,45474
"692","Illinois",2009,45161
"693","Illinois",2010,48418
"694","Illinois",2011,48427
"695","Illinois",2012,49348
"696","Illinois",2013,48653
"697","Illinois",2014,48278
"698","Illinois",2015,46240
"699","Illinois",2016,43657
"700","Illinois",2017,41427
"701","Illinois",2018,39965
"702","Illinois",2019,38259
"703","Illinois",2020,29729
"704","Illinois",2021,28475
"705","Indiana",1978,4923
"706","Indiana",1979,5667
"707","Indiana",1980,6683
"708","Indiana",1981,8022
"709","Indiana",1982,8790
"710","Indiana",1983,9296
"711","Indiana",1984,9328
"712","Indiana",1985,10056
"713","Indiana",1986,10175
"714","Indiana",1987,10827
"715","Indiana",1988,11406
"716","Indiana",1989,12341
"717","Indiana",1990,12736
"718","Indiana",1991,13719
"719","Indiana",1992,13945
"720","Indiana",1993,14470
"721","Indiana",1994,15014
"722","Indiana",1995,16125
"723","Indiana",1996,16960
"724","Indiana",1997,17903
"725","Indiana",1998,19197
"726","Indiana",1999,19309
"727","Indiana",2000,20125
"728","Indiana",2001,20966
"729","Indiana",2002,21611
"730","Indiana",2003,23069
"731","Indiana",2004,24008
"732","Indiana",2005,24455
"733","Indiana",2006,26091
"734","Indiana",2007,27132
"735","Indiana",2008,28322
"736","Indiana",2009,28808
"737","Indiana",2010,28028
"738","Indiana",2011,28906
"739","Indiana",2012,28831
"740","Indiana",2013,29913
"741","Indiana",2014,29271
"742","Indiana",2015,27355
"743","Indiana",2016,25546
"744","Indiana",2017,26024
"745","Indiana",2018,26877
"746","Indiana",2019,27180
"747","Indiana",2020,26051
"748","Indiana",2021,24716
"749","Kansas",1978,2341
"750","Kansas",1979,2290
"751","Kansas",1980,2494
"752","Kansas",1981,2770
"753","Kansas",1982,3078
"754","Kansas",1983,3705
"755","Kansas",1984,4244
"756","Kansas",1985,4732
"757","Kansas",1986,5345
"758","Kansas",1987,5781
"759","Kansas",1988,5817
"760","Kansas",1989,5616
"761","Kansas",1990,5775
"762","Kansas",1991,5903
"763","Kansas",1992,6028
"764","Kansas",1993,5727
"765","Kansas",1994,6371
"766","Kansas",1995,7054
"767","Kansas",1996,7756
"768","Kansas",1997,7911
"769","Kansas",1998,8183
"770","Kansas",1999,8567
"771","Kansas",2000,8344
"772","Kansas",2001,8577
"773","Kansas",2002,8935
"774","Kansas",2003,9132
"775","Kansas",2004,8966
"776","Kansas",2005,9068
"777","Kansas",2006,8816
"778","Kansas",2007,8696
"779","Kansas",2008,8539
"780","Kansas",2009,8641
"781","Kansas",2010,9051
"782","Kansas",2011,9327
"783","Kansas",2012,9682
"784","Kansas",2013,9763
"785","Kansas",2014,9877
"786","Kansas",2015,9857
"787","Kansas",2016,9920
"788","Kansas",2017,10015
"789","Kansas",2018,10218
"790","Kansas",2019,10177
"791","Kansas",2020,8779
"792","Kansas",2021,8521
"793","Kentucky",1978,3390
"794","Kentucky",1979,3691
"795","Kentucky",1980,3588
"796","Kentucky",1981,3993
"797","Kentucky",1982,4031
"798","Kentucky",1983,4773
"799","Kentucky",1984,4820
"800","Kentucky",1985,4981
"801","Kentucky",1986,5288
"802","Kentucky",1987,6437
"803","Kentucky",1988,7119
"804","Kentucky",1989,8289
"805","Kentucky",1990,9023
"806","Kentucky",1991,9799
"807","Kentucky",1992,10364
"808","Kentucky",1993,10440
"809","Kentucky",1994,11066
"810","Kentucky",1995,12060
"811","Kentucky",1996,12910
"812","Kentucky",1997,14600
"813","Kentucky",1998,14987
"814","Kentucky",1999,15317
"815","Kentucky",2000,14919
"816","Kentucky",2001,15424
"817","Kentucky",2002,15820
"818","Kentucky",2003,16622
"819","Kentucky",2004,17814
"820","Kentucky",2005,19662
"821","Kentucky",2006,20000
"822","Kentucky",2007,22457
"823","Kentucky",2008,21706
"824","Kentucky",2009,21638
"825","Kentucky",2010,20544
"826","Kentucky",2011,21545
"827","Kentucky",2012,22110
"828","Kentucky",2013,21030
"829","Kentucky",2014,21657
"830","Kentucky",2015,21701
"831","Kentucky",2016,23022
"832","Kentucky",2017,23543
"833","Kentucky",2018,23431
"834","Kentucky",2019,23082
"835","Kentucky",2020,18552
"836","Kentucky",2021,18560
"837","Louisiana",1978,7291
"838","Louisiana",1979,7618
"839","Louisiana",1980,8889
"840","Louisiana",1981,9415
"841","Louisiana",1982,10930
"842","Louisiana",1983,12812
"843","Louisiana",1984,13659
"844","Louisiana",1985,13890
"845","Louisiana",1986,14300
"846","Louisiana",1987,15375
"847","Louisiana",1988,16242
"848","Louisiana",1989,17257
"849","Louisiana",1990,18599
"850","Louisiana",1991,20003
"851","Louisiana",1992,20980
"852","Louisiana",1993,22468
"853","Louisiana",1994,24063
"854","Louisiana",1995,25195
"855","Louisiana",1996,26779
"856","Louisiana",1997,29265
"857","Louisiana",1998,32228
"858","Louisiana",1999,34066
"859","Louisiana",2000,35207
"860","Louisiana",2001,35810
"861","Louisiana",2002,36032
"862","Louisiana",2003,36047
"863","Louisiana",2004,36939
"864","Louisiana",2005,36083
"865","Louisiana",2006,37012
"866","Louisiana",2007,37540
"867","Louisiana",2008,38381
"868","Louisiana",2009,39780
