"","State","year","tot_pop","incar_rate","tot_crime_rate","violent_crime_rate","prop_crime_rate","pov_rate","non_white_rate","spending_rate"
"207","Arizona",1984,3133000,250.398978614746,6333.41844877115,502.904564315353,5830.51388445579,18200,5951.91189992609,29400000
"208","Arkansas",1984,2364000,189.593908629442,3346.15059221658,319.331641285956,3026.81895093063,23900,18137.4901016438,11900000
"209","California",1984,25600000,168.73828125,6473.90625,764.01953125,5709.88671875,13200,17107.079536984,30800000
"210","Colorado",1984,3067000,105.347244864689,6705.31463971307,474.339745679817,6230.97489403326,8900,5410.78197002509,25100000
"211","Connecticut",1984,3152000,181.408629441624,4631.82106598985,394.098984771574,4237.72208121827,6900,11981.6466147772,22500000
"212","Delaware",1984,611000,360.392798690671,5023.24058919804,437.152209492635,4586.0883797054,10300,16463.5513601246,23700000
"213","Florida",1984,11190000,240.518319928508,6690.78641644325,851.385165326184,5839.40125111707,15100,17906.9155121633,27300000
"214","Georgia",1984,5822000,264.582617657162,4509.72174510477,479.817931982137,4029.90381312264,16900,28471.5776614322,16900000
"215","Hawaii",1984,997000,197.091273821464,5715.34603811434,241.624874623872,5473.72116349047,9300,65747.233050662,22800000
"216","Idaho",1984,992000,126.310483870968,3704.93951612903,237.399193548387,3467.54032258064,17300,3222.59660385981,1.7e+07
"217","Illinois",1984,11650000,146.901287553648,5240.90128755365,716.231759656652,4524.669527897,15000,15910.4197776161,26600000
"218","Indiana",1984,5419000,172.135080273113,3986.69496217014,309.669680752906,3677.02528141724,12900,8442.76440109725,13200000
"219","Iowa",1984,2876000,98.6091794158554,3844.43671766342,201.008344923505,3643.42837273992,14600,2838.69589875366,1.7e+07
"220","Kansas",1984,2420000,175.371900826446,4371.61157024793,336.652892561983,4034.95867768595,10700,6521.929105648,17400000
"221","Kentucky",1984,3721000,129.535071217415,2960.09137328675,277.936038699274,2682.15533458748,19100,9561.0470887332,14700000
"222","Louisiana",1984,4304000,317.35594795539,5298.07156133829,702.85780669145,4595.21375464684,20600,27895.7921028643,23700000
"223","Maine",1984,1167000,88.4318766066838,3494.08740359897,156.983718937446,3337.10368466152,13000,771.151946936654,13900000
"224","Maryland",1984,4106000,319.629810034096,5523.13687286897,839.137847053093,4683.99902581588,8700,24025.7775226946,25100000
"225","Massachusetts",1984,5845000,83.5414884516681,4551.53122326775,519.45252352438,4032.07869974337,8900,4340.78602702646,22500000
