,State,year,tot_pop,incar_rate,tot_crime_rate,violent_crime_rate,prop_crime_rate,pov_rate,non_white_rate,spending_rate,incarceration_rate_national
74,Mississippi,1981.0,2408000.0,-0.8815353413396333,-0.29884069577624767,-0.5522122008033818,-0.23659967579286567,3.433018488726948,1.3114763002724785,-1.69620546977339,-1.0475825891945316
75,Missouri,1981.0,4814000.0,-1.212253120534707,0.9777145575764661,0.5381251478298721,0.9914810392810697,0.08893348176563891,-0.3911470092194487,-1.0046170693440362,-1.0475825891945316
76,Montana,1981.0,813000.0,-1.4005193114725565,0.5456981382674373,-0.8946520875589516,0.7581779051119293,0.062180801709948434,-0.9130963375024858,-1.2698838530703638,-1.0475825891945316
77,National,1981.0,226546000.0,-1.0475825891945316,1.2918328819255926,0.7570806833907935,1.3021272616276878,0.3025486946927269,-1.2516680725832598,,-1.0475825891945316
78,Nebraska,1981.0,1579000.0,-1.4466155379139656,0.027408965656468297,-1.1988140304224821,0.2358301759954176,0.30295492221116266,-0.8818632849939823,-1.4309386860470625,-1.0475825891945316
79,Nevada,1981.0,884000.0,-0.6079803958042017,2.939180745031902,1.9484008920358062,2.9238901392306165,-0.6333888797380038,-0.426116207478632,-0.19934290446054226,-1.0475825891945316
80,New Hampshire,1981.0,929000.0,-1.7436032960041026,0.15712918461499112,-1.3533640023385891,0.4060991228528862,-1.4092166013530274,-1.2010700464351125,-1.3456743627064573,-1.0475825891945316
81,New Jersey,1981.0,7331000.0,-1.4385364917117422,1.5175446253440572,0.922628493871572,1.5239360818657415,-0.7671522800164562,-0.25240063054502004,-0.455135874482358,-1.0475825891945316
82,New Mexico,1981.0,1303000.0,-1.3272782808966814,1.5722788957071625,1.1432639437150287,1.5467918318061975,1.5335782047729243,-0.06732251992975473,-1.014090883048548,-1.0475825891945316
83,New York,1981.0,17470000.0,-1.1479045443834845,2.0328825394042243,2.9742417853480863,1.7435384995290506,0.4099656424339245,-0.0021544033802646323,-0.02881425777933176,-1.0475825891945316
84,North Carolina,1981.0,5820000.0,-0.42540399455477834,0.35317360992472585,0.03687822024503118,0.3851392787967505,1.239298724160329,0.5166096166097174,-1.355148176410969,-1.0475825891945316
85,North Dakota,1981.0,626000.0,-1.7327011337865657,-0.7112264324530222,-1.7123848524484213,-0.4948623993862104,0.3564602823225436,-0.979112499526516,-1.601467332728273,-1.0475825891945316
86,Ohio,1981.0,10750000.0,-1.1865799523174156,0.9570693909972133,0.2756443270976217,1.0135811828560393,-0.04482991851281345,-0.40728316938369225,-1.1656719023207351,-1.0475825891945316
87,Oklahoma,1981.0,2985000.0,-0.968841060887476,0.6401359448914152,0.020514660121273356,0.7060141035527573,0.24944956209978172,-0.25709070968127157,-1.4214648723425507,-1.0475825891945316
88,Oregon,1981.0,2693000.0,-1.2841385201579985,2.0057347023251846,0.1487608878798674,2.197672004736532,-0.15184063873557532,-0.9085384429528799,-0.8340884226628258,-1.0475825891945316
89,Pennsylvania,1981.0,11740000.0,-1.5302125236721476,-0.294849152599359,-0.2929850340376484,-0.27660117458955247,-0.3391093991254086,-0.5044692528388603,-1.2035671571387818,-1.0475825891945316
90,Rhode Island,1981.0,936000.0,-1.3972616362407937,1.3108681517604124,0.049720698309870116,1.4444517476859922,-0.3123567190697182,-0.9888070475161276,-0.9856694419350128,-1.0475825891945316
91,South Carolina,1981.0,3347000.0,-0.5170980985686977,0.6480544225118613,0.7787080148761502,0.5848535810235403,1.4800728446615434,1.2983840130323911,-1.5446244505012028,-1.0475825891945316
92,South Dakota,1981.0,675000.0,-1.3979036944137448,-0.7732685979302752,-1.5473000509174044,-0.5919220903537524,1.7743523252741387,-0.6384288680235539,-1.5446244505012028,-1.0475825891945316
93,Tennessee,1981.0,4502000.0,-0.9775492639426142,0.20401584570101725,-0.07508293712280523,0.23899971381733368,2.1488898460538053,0.1228866221506408,-1.449886313456086,-1.0475825891945316
94,Texas,1981.0,14640000.0,-0.7477566410378552,1.4160230911124077,0.45661182768160474,1.4912739549607024,0.6774924429908292,-0.2365405182385071,-1.355148176410969,-1.0475825891945316
95,Utah,1981.0,1516000.0,-1.5566326721784547,1.1655305390668518,-0.6518943035808293,1.4035999532794723,-0.1785933187912658,-1.0592556413393086,-1.2225147845478053,-1.0475825891945316
96,Vermont,1981.0,535000.0,-1.4143931884256102,0.5329442349265299,-1.469018120159114,0.842474921594368,-0.15184063873557532,-1.2302411712852297,-1.6204149601372964,-1.0475825891945316
97,Virginia,1981.0,5257000.0,-0.9592312794147041,0.4965132205879863,-0.49615332523982547,0.6353673131644252,-0.07158259856850392,0.3382759912082043,-1.2319885982523169,-1.0475825891945316
98,Washington,1981.0,4168000.0,-1.2513813363884232,1.9311891234782543,0.062479034291968064,2.129832097317159,-0.41936743929248005,-0.6476882212004975,-1.042512324162083,-1.0475825891945316
99,West Virginia,1981.0,2003000.0,-1.5396732162646802,-1.1384225533278467,-1.2497965589175917,-1.047645998675294,1.8813630454969004,-1.0776281285787825,-1.847786489045577,-1.0475825891945316
100,Wisconsin,1981.0,4741000.0,-1.4567038179667071,0.4560683053657517,-1.1679904393589502,0.7056758404594075,-1.2754532010745752,-0.920092517891741,-0.7582979130267322,-1.0475825891945316
101,Wyoming,1981.0,482000.0,-1.3245971687418685,0.7970895435714505,0.001989234932074771,0.883157095216302,-1.0614317606290513,-1.0664865305946718,-0.22776434557407735,-1.0475825891945316
102,Alabama,1982.0,3937000.0,-0.6359937927352427,0.366608636975719,0.04569165118886251,0.3985203042858711,2.3361586064436386,0.662078245503587,-1.4593601271605976,-0.9460385115781289
103,Alaska,1982.0,432000.0,-0.22283022821776205,1.5607785747165444,0.9027925039454325,1.5752562514212385,-0.6066361996823133,0.4767909047288951,4.376509114818606,-0.9460385115781289
104,Arizona,1982.0,2765000.0,-0.7228160984895783,2.3364811846001534,0.4477981183249603,2.5130247464248296,0.5169763626566865,-0.8958516420170287,-0.00039281666579668,-0.9460385115781289
105,Arkansas,1982.0,2219000.0,-0.9698328915189952,-0.09677349317048485,-0.48151187259808037,-0.024743842426469848,2.9247175676688286,0.17594063165236296,-1.8004174205230186,-0.9460385115781289
106,California,1982.0,24610000.0,-1.1778047960814555,2.295589756833838,1.769472441218976,2.241195033178133,0.32970760226685314,-0.03985066526894583,-0.08565714000640193,-0.9460385115781289
107,Colorado,1982.0,3064000.0,-1.4174621610033538,2.091663759148921,0.29125451453360185,2.2684959735438164,-0.07158259856850392,-0.9091193100752549,-0.7109288445041737,-0.9460385115781289
108,Connecticut,1982.0,3126000.0,-1.0380602812294342,0.9670405400209928,-0.16582144543080965,1.1002906246636046,-1.2754532010745752,-0.7414189418363175,-0.9383003734124544,-0.9460385115781289
109,Delaware,1982.0,611000.0,-0.03535747323108238,1.555011702831342,0.5262100800263342,1.6334020363426545,-0.3658620791810991,0.11001213166397382,-0.5972430800500335,-0.9460385115781289
110,Florida,1982.0,10510000.0,-0.461038799416944,2.3526582800533613,2.0968942713550724,2.2483372806708752,0.6239870828794484,0.1306329525660029,-0.4740835018913814,-0.9460385115781289
111,Georgia,1982.0,5472000.0,-0.4699733440231123,0.8946853069749962,0.25229436968659064,0.9484360155908571,1.801105005329829,0.5169844200916957,-1.317252921592922,-0.9460385115781289
